//车辆站点和线路关键信息；

line_one:
GPS:
30.5565134000,103.9940400000 //体育学院站到了
30.5572243000,103.9936202500
30.5575103000,103.9933892500
30.5585908100,103.9925940300 //艺术学院站到了
30.5587408100,103.9925160300
30.5589028100,103.9924570300
30.5591498100,103.9924060300
30.5595958100,103.9924300300
30.5599418100,103.9924780300
30.5606168100,103.9927140300
30.5610897200,103.9928928200
30.5614687200,103.9931398200
30.5617037200,103.9933808200
30.5619997200,103.9937998200
30.5621887200,103.9942178200 //土木实验室站到了
30.5623367200,103.9946358200
30.5623917200,103.9952048200
30.5624057200,103.9959828200  //制造实验室站到了
30.5625307200,103.9967978200
30.5628307200,103.9978438200
30.5629877200,103.9984558200
30.5630197200,103.9987078200
30.5629927200,103.9988898200
30.5629807200,103.9990478200
30.5629077200,103.9992678200
30.5627867200,103.9994878200
30.5626027200,103.9997348200
30.5623527200,104.0000078200
30.5617847200,104.0004318200
30.5615377200,104.0005798200
30.5613987200,104.0007508200 
30.5611907200,104.0010778200  //计算机学院站到了
30.5607957200,104.0019388200
30.5605837200,104.0023948200
30.5604267200,104.0025988200
30.5602718900,104.0027398400
30.5595968900,104.0033678400 //一号运动场站
30.5591118900,104.0038178400
30.5584098900,104.0044138400 //东南门站到了


    
